unique_id,Title,Release Year,Locations,Fun Facts,Production Company,Distributor,Director,Writer,Actor 1,Actor 2,Actor 3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts,query_location,city,state,coordinates_final2,lat_final2,lon_final2,tconst,genres,run_time,avg_rating,numVotes,director1_nconst,director1_name,director2_nconst,director2_name,writer1_nconst,writer1_name,writer2_nconst,writer2_name,writer3_nconst,writer3_name
5,The Californians,2005,,,Parker Film Company,Fabrication Films,Jonathan Parker,Jonathan Parker & Catherine DiNapoli,Noah Wyle,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0377043,Drama,87,4.8,461.0,nm0662383,Jonathan Parker,,,nm0662383,Jonathan Parker,nm0227517,Catherine DiNapoli,nm0416556,Henry James
6,Babies,2010,,,Canal+,Focus Features,Thomas Balmes,Thomas Balmes,Bayar,Hattie,,21.0,36.0,10.0,,San Francisco,California,,,,tt1020938,Documentary,79,7.0,7469.0,nm0050988,Thomas Balmès,,,nm0149260,Alain Chabat,nm0050988,Thomas Balmès,,
24,Down Periscope,1996,,,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,David S. Ward,Hugh Wilson,Kelsey Grammar,Lauren Holly,,21.0,36.0,10.0,,San Francisco,California,,,,tt0116130,Comedy,92,6.2,27146.0,nm0911486,David S. Ward,,,nm0933505,Hugh Wilson,nm0476065,Andrew Kurtzman,nm0906997,Eliot Wald
41,Shattered,1991,,,Capella International,Metro-Goldwyn-Mayer,Wolfgang Petersen,Wolfgang Petersen,Tom Berenger,Bob Hoskins,,21.0,36.0,10.0,,San Francisco,California,,,,tt0102900,"Crime,Drama,Mystery",98,6.5,11655.0,nm0000583,Wolfgang Petersen,,,nm0624217,Richard Neely,nm0000583,Wolfgang Petersen,,
61,True Believer,1989,,,Columbia Pictures Corporation,Columbia Pictures,Joseph Ruben,Wesley Strick,James Woods,"Robert Downey, Jr.",,21.0,36.0,10.0,,San Francisco,California,,,,tt0098524,"Crime,Drama,Mystery",108,6.7,5550.0,nm0747849,Joseph Ruben,,,nm0834338,Wesley Strick,,,,
78,The Doctor,1991,,,Silver Screen Partners IV,Buena Vista Pictures,Randa Haines,Robert Caswell,William Hurt,Christine Lahti,,21.0,36.0,10.0,,San Francisco,California,,,,tt0101746,Drama,122,6.9,5972.0,nm0354279,Randa Haines,,,nm0742126,Ed Rosenbaum,nm0145781,Robert Caswell,,
131,Fathers' Day,1997,,,Northern Lights Entertainment,Columbia Broadcasting System,Ivan Reitman,Lowell Ganz,Robin Williams,Billy Crystal,,21.0,36.0,10.0,,San Francisco,California,,,,tt0119109,"Comedy,Romance",98,5.3,16651.0,nm0718645,Ivan Reitman,,,nm0891554,Francis Veber,nm0304665,Lowell Ganz,nm0541632,Babaloo Mandel
274,The Organization,1971,,,The Mirisch Corporation,United Artists,Don Medford,James R. Webb,Sidney Poitier,Barbara McNair,,21.0,36.0,10.0,,San Francisco,California,,,,tt0067535,"Action,Crime,Drama",106,6.0,2209.0,nm0575546,Don Medford,,,nm0916139,James R. Webb,nm0050398,John Ball,,
281,Raising Cain,1992,,,Pacific Western,Universal Pictures,Brian DePalma,Brian DePalma,John Lithgow,,,21.0,36.0,10.0,,San Francisco,California,,,,tt0105217,"Crime,Drama,Horror",92,6.1,17685.0,nm0000361,Brian De Palma,,,nm0000361,Brian De Palma,,,,
291,Just Like Heaven,2005,,,DreamWorks SKG,DreamWorks Distribution,Mark Waters,Peter Tolan,Reese Witherspoon,Mark Ruffalo,,21.0,36.0,10.0,,San Francisco,California,,,,tt0425123,"Comedy,Drama,Fantasy",95,6.7,118225.0,nm0914132,Mark Waters,,,nm0865847,Peter Tolan,nm0228908,Leslie Dixon,nm1344075,Marc Lévy
296,Confessions of a Burning Man,2003,,,Hotbed Media,Windline Films,Paul Barnett,,Kevin Epps,Anna Getty,,21.0,36.0,10.0,,San Francisco,California,,,,tt0357567,Documentary,83,6.8,63.0,nm0055962,Paul Barnett,nm1276329,Unsu Lee,\N,,,,,
352,Beaches,1988,,,Silver Screen Partners IV,Columbia Broadcasting System,Garry Marshall,Mary Agnes Donoghue,Bette Midler,Barbara Hershey,John Heard,21.0,36.0,10.0,,San Francisco,California,,,,tt0094715,"Comedy,Drama,Music",123,7.0,29278.0,nm0005190,Garry Marshall,,,nm0201727,Iris Rainer,nm0232858,Mary Agnes Donoghue,,
380,The Laughing Policeman,1973,,,Twentieth Century Fox Film Corporation,American Broadcasting Company (ABC),Stuart Rosenberg,Thomas Rickman,Walter Matthau,Bruce Dern,Louis Gossett Jr.,21.0,36.0,10.0,,San Francisco,California,,,,tt0070292,"Crime,Drama,Thriller",112,6.4,3348.0,nm0742341,Stuart Rosenberg,,,nm0725564,Thomas Rickman,nm0883908,Per Wahlöö,nm0803711,Maj Sjöwall
